Stockholm,Södertälje,21
Södertälje,Norrköping,59
Södertälje,Katrineholm,47
Norrköping,Linköping,24
Linköping,Mjölby,16
Mjölby,Nässjö,39
Nässjö,Alvesta,33
Alvesta,Hässleholm,38
Hässleholm,Lund,30
Lund,Malmö,13
Göteborg,Varberg,39
Varberg,Halmstad,29
Halmstad,Åstorp,36
Åstorp,Lund,36
Skövde,Herrljunga,35
Herrljunga,Göteborg,39
Skövde,Falköping,16
Herrljunga,Falköping,15
Falköping,Jönköping,45
Halmstad,Värnamo,99
Värnamo,Alvesta,39
Värnamo,Nässjö,59
Alvesta,Emmaboda,50
Emmaboda,Kalmar,29
Hässleholm,Kristianstad,26
Kristianstad,Karlskrona,95
Karlskrona,Emmaboda,44
Jönköping,Nässjö,34
Norrköping,Katrineholm,25
Katrineholm,Hallsberg,31
Hallsberg,Örebro,19
Hallsberg,Skövde,42
Örebro,Arboga,21
Arboga,Västerås,28
Stockholm,Västerås,90
Stockholm,Uppsala,51
Uppsala,Gävle,59
Gävle,Sundsvall,217
Sundsvall,Ånge,73
Ånge,Östersund,64
Gävle,Ånge,165
Sundsvall,Umeå,190
Umeå,Boden,186
Boden,Gällivare,119
Gällivare,Kiruna,67
Boden,Luleå,26
Borlänge,Mora,74
Mora,Sveg,161
Sveg,Östersund,241
Östersund,Gällivare,831
Uppsala,Sala,35
Avesta,Storvik,42
Storvik,Borlänge,63
Gävle,Storvik,30
Avesta,Sala,19
Avesta,Borlänge,48
Avesta,Fagersta,24
Fagersta,Frövi,50
Frövi,Örebro,21
Frövi,Ludvika,86
Fagersta,Ludvika,45
Ludvika,Borlänge,35
Västerås,Eskilstuna,33
Eskilstuna,Södertälje,40
Eskilstuna,Katrineholm,46
Eskilstuna,Arboga,26
Strömstad,Uddevalla,80
Uddevalla,Göteborg,74
Uddevalla,Trollhättan,53
Trollhättan,Göteborg,44
Trollhättan,Herrljunga,103
Linköping,Kalmar,201
Helsingborg,Åstorp,23
Åstorp,Hässleholm,39
Lund,Helsingborg,35
Karlstad,Örebro,109
Karlstad,Trollhättan,114
Strömstad,Halden,37
Trollhättan,Halden,85
Oslo,Halden,99
Karlstad,Oslo,157
Stockholm,Nynäshamn,63
Malmö,Köpenhamn,43
Köpenhamn,Helsingör,49
Köpenhamn,Hamburg,276
Helsingör,Helsingborg,20
Hamburg,Berlin,105
Hamburg,Hannover,76
Berlin,Hannover,97
Hannover,Köln,158
Köln,Amsterdam,160
Amsterdam,Bremen,248
Bremen,Hamburg,56
Bremen,Hannover,60
Amsterdam,Bryssel,123
Bryssel,Lille,51
Lille,London,82
London,Leeds,172
London,Birmingham,181
Birmingham,Leeds,115
Leeds,Manchester,59
Manchester,Birmingham,89
Manchester,Liverpool,37
Manchester,Preston,63
Liverpool,Preston,53
Preston,Glasgow,151
Glasgow,Edinburgh,53
Edinburgh,Leeds,190
Lille,Paris,62
Paris,Lyon,106
Lyon,Marseille,122
Lyon,Montpellier,118
Montpellier,Marseille,90
Marseille,Nice,158
Nice,Genova,193
Genova,Turin,149
Turin,Milano,60
Lyon,Geneve,117
Geneve,Basel,160
Basel,Zürich,54
Paris,Dijon,99
Dijon,Lyon,121
Dijon,Basel,85
Basel,Mannheim,130
Köln,Frankfurt,60
Mannheim,Frankfurt,32
Mannheim,Saarbrucken,78
Saarbrucken,Metz,124
Metz,Paris,86
Metz,Luxenburg,59
Luxenburg,Liege,155
Liege,Köln,61
Liege,Bryssel,48
Liege,Köln,62
Köln,Frankfurt,73
Frankfurt,Mannheim,49
Frankfurt,Göttingen,143
Hannover,Göttingen,67
Göttingen,Nürnberg,203
Nürnberg,München,73
München,Stuttgart,116
Stuttgart,Mannheim,38
München,Wien,248
München,Innsbruck,104
Innsbruck,Zürich,328
Innsbruck,Graz,361
Innsbruck,Verona,215
Graz,Wien,214
Milano,Verona,73
Verona,Venedig,72
Venedig,Bologna,94
Bologna,Milano,74
Wien,Prag,241
Nynäshamn,Gdansk,1080
Gdansk,Warsawa,147
Warsawa,Berlin,307
Ystad,Świnoujście,360
Malmö,Ystad,49
Berlin,Świnoujście,324
Fredrikshamn,Odense,288
Fredrikshamn,Oslo,600
Odense,Köpenhamn,71
Odense,Hamburg,218
Göteborg,Fredrikshamn,480
Wien,Budapest,157
Budapest,Bukarest,900
Boden,Seinäjoki,472
Umeå,Vasa,286
Vasa,Seinäjoki,57
Tammerfors,Helsingfors,102
Tammerfors,Seinäjoki,71
Tammerfors,Åbo,100
Åbo,Stockholm,695
Helsingfors,Stockholm,730
Östersund,Trondheim,233
Trondheim,Narvik,2340
Narvik,Kiruna,190
Berlin,Leipzig,69
Hannover,Kassel,53
Kassel,Leipzig,300
Leipzig,Dresden,60
Berlin,Dresden,131
Dresden,Prag,130
Bologna,Pescara,189
Pescara,Rom,302
Rom,Neapel,73
Neapel,Foggia,212
Pescara,Foggia,90
Foggia,Bari,61
Bari,Taranto,77
Taranto,Brindisi,64
Bari,Brindisi,53
Genova,Florens,195
Florens,Bologna,37
Florens,Rom,96
Montpellier,Barcelona,190
Barcelona,Zaragoza,83,
Zaragoza,Madrid,75
Madrid,Valencia,109
Valencia,Barcelona,172
Valencia,Zaragoza,298
